id,experiment_id,family,apex_angle,rectangle_ratio,pattern,evidence,pieces,utilization,upper_bound,gap,fingerprint
"iso-a35-r0p75","isosceles/apex-35/rectangle-0.75","isosceles","35","0.75","vertical lattice","verified_best_known","150","0.8962131817985107","0.9977840090690072","0.10157082727049649","tpa1-0102a8165821ed52"
"iso-a35-r0p9","isosceles/apex-35/rectangle-0.9","isosceles","35","0.9","acute horizontal lattice","verified_best_known","176","0.8762973333140993","0.9957924242205661","0.11949509090646682","tpa1-b18ac68ac7fd5b32"
"iso-a35-r1p05","isosceles/apex-35/rectangle-1.05","isosceles","35","1.05","acute horizontal lattice","verified_best_known","208","0.8876778181623344","0.9986375454326248","0.11095972727029046","tpa1-dca8abb1365e1fbf"
"iso-a35-r1p2","isosceles/apex-35/rectangle-1.2","isosceles","35","1.2","vertical lattice","verified_best_known","250","0.9335553977067795","0.9970371647508418","0.06348176704406228","tpa1-cc55346e3b2c6f88"
"iso-a35-r1p35","isosceles/apex-35/rectangle-1.35","isosceles","35","1.35","vertical lattice","verified_best_known","275","0.9128097222021826","0.9991117323013012","0.08630201009911864","tpa1-c948658eb0aef52b"
"iso-a35-r1p5","isosceles/apex-35/rectangle-1.5","isosceles","35","1.5","acute horizontal lattice","verified_best_known","300","0.8962131817985073","0.9977840090690072","0.10157082727049993","tpa1-a5df0137289ea2b4"
"iso-a35-r1p65","isosceles/apex-35/rectangle-1.65","isosceles","35","1.65","acute horizontal lattice","verified_best_known","300","0.8147392561804623","0.999413487581368","0.18467423140090578","tpa1-0de6d0ecc05167dd"
"iso-a35-r1p8","isosceles/apex-35/rectangle-1.8","isosceles","35","1.8","acute horizontal lattice","verified_best_known","300","0.7468443181654233","0.9982819052811175","0.2514375871156942","tpa1-ea3da78e516bd1c6"
"iso-a35-r1p95","isosceles/apex-35/rectangle-1.95","isosceles","35","1.95","acute horizontal lattice","verified_best_known","300","0.6893947552296228","0.9996223950829529","0.31022763985333013","tpa1-8c0c4cec6d70e33d"
"iso-a35-r2p1","isosceles/apex-35/rectangle-2.1","isosceles","35","2.1","acute horizontal lattice","verified_best_known","300","0.6401522727132201","0.9986375454326248","0.3584852727194048","tpa1-4cca15804837b00e"
"iso-a35-r2p25","isosceles/apex-35/rectangle-2.25","isosceles","35","2.25","acute horizontal lattice","verified_best_known","300","0.5974754545323392","0.9997755939174484","0.4023001393851092","tpa1-d260be8b60800c1a"
"iso-a35-r2p4","isosceles/apex-35/rectangle-2.4","isosceles","35","2.4","acute horizontal lattice","verified_best_known","300","0.5601332386240686","0.9989042755462554","0.4387710369221868","tpa1-31dba482fcd32622"
"iso-a35-r2p55","isosceles/apex-35/rectangle-2.55","isosceles","35","2.55","acute horizontal lattice","verified_best_known","300","0.5271842245873588","0.9998927459673567","0.47270852137999786","tpa1-490393adb8087dcc"
"iso-a35-r2p7","isosceles/apex-35/rectangle-2.7","isosceles","35","2.7","acute horizontal lattice","verified_best_known","300","0.49789621211028295","0.9991117323013012","0.5012155201910182","tpa1-d562fcf4e0839f92"
"iso-a35-r2p85","isosceles/apex-35/rectangle-2.85","isosceles","35","2.85","acute horizontal lattice","verified_best_known","300","0.4716911483150049","0.9999852344278105","0.5282940861128056","tpa1-b0a05bdf841f2989"
"iso-a35-r3","isosceles/apex-35/rectangle-3","isosceles","35","3","acute horizontal lattice","verified_best_known","300","0.448106590899255","0.999277697705338","0.551171106806083","tpa1-b74c8dd11b44a160"
"iso-a40-r0p75","isosceles/apex-40/rectangle-0.75","isosceles","40","0.75","vertical lattice","verified_best_known","132","0.883832963318989","0.9976599358676497","0.1138269725486607","tpa1-039dc8bf30fc31fb"
"iso-a40-r0p9","isosceles/apex-40/rectangle-0.9","isosceles","40","0.9","acute horizontal lattice","verified_best_known","160","0.89276056900908","0.998775886578911","0.10601531756983107","tpa1-9aad7d71e3eb9c45"
"iso-a40-r1p05","isosceles/apex-40/rectangle-1.05","isosceles","40","1.05","acute horizontal lattice","verified_best_known","184","0.8800068465946641","0.9995729942298119","0.11956614763514783","tpa1-37e2606f4010fbc4"
"iso-a40-r1p2","isosceles/apex-40/rectangle-1.2","isosceles","40","1.2","vertical lattice","verified_best_known","220","0.9206593367906132","0.9959860098007577","0.07532667301014451","tpa1-995b4d084965d731"
"iso-a40-r1p35","isosceles/apex-40/rectangle-1.35","isosceles","40","1.35","vertical lattice","verified_best_known","242","0.9002002404174887","0.9969159687268087","0.09671572830931996","tpa1-3f6514b6759c3743"
"iso-a40-r1p5","isosceles/apex-40/rectangle-1.5","isosceles","40","1.5","acute horizontal lattice","verified_best_known","272","0.9106157803892606","0.9976599358676497","0.08704415547838906","tpa1-10ea29e0d035b969"
